                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3368,                 1.7359,                   1.31,                0.52726,                0.38722,                0.41052,                0.20883,                 1.7099,                 2.1168,                 1.6677,             0.00066381,             0.00066381,             0.00066381
                      1,                 1.5471,                 1.7376,                 1.4613,                0.48598,                0.35713,                0.36164,                0.16588,                 1.9491,                 2.0872,                 1.7944,              0.0012646,              0.0012646,              0.0012646
                      2,                 1.5798,                 1.7266,                 1.4933,                 0.4901,                0.30341,                0.31026,                0.14611,                 1.9381,                 2.1949,                 1.8884,              0.0017994,              0.0017994,              0.0017994
                      3,                 1.5708,                 1.7116,                 1.5044,                0.52627,                0.39039,                0.39219,                0.19172,                 1.7862,                 1.9838,                 1.7096,               0.001703,               0.001703,               0.001703
                      4,                 1.5466,                  1.658,                 1.4886,                0.57295,                0.42374,                0.45862,                0.23441,                  1.717,                 1.8383,                 1.6565,               0.001703,               0.001703,               0.001703
                      5,                 1.5084,                 1.5848,                 1.4475,                0.55741,                0.45213,                0.48443,                0.26332,                    1.6,                 1.6394,                 1.5497,               0.001604,               0.001604,               0.001604
                      6,                 1.4546,                 1.5097,                 1.4198,                0.61707,                0.43522,                0.48875,                0.26114,                 1.6399,                 1.6401,                  1.583,               0.001505,               0.001505,               0.001505
                      7,                 1.4249,                 1.4735,                 1.3992,                0.61818,                0.44854,                0.50416,                0.28122,                 1.6056,                 1.5913,                 1.5361,               0.001406,               0.001406,               0.001406
                      8,                 1.4108,                 1.4547,                 1.3865,                0.65779,                0.47565,                0.53883,                0.29995,                  1.545,                 1.5243,                 1.5105,               0.001307,               0.001307,               0.001307
                      9,                 1.3792,                 1.4111,                 1.3737,                 0.6669,                0.47251,                0.53821,                0.30477,                 1.5381,                 1.4853,                 1.4947,               0.001208,               0.001208,               0.001208
                     10,                 1.4685,                 1.4529,                 1.4621,                0.65364,                0.46655,                0.53451,                0.30802,                 1.5134,                 1.4896,                 1.4906,               0.001109,               0.001109,               0.001109
                     11,                 1.4276,                 1.3849,                 1.4281,                0.67323,                0.47908,                0.55239,                 0.3238,                 1.4973,                 1.4394,                 1.4564,                0.00101,                0.00101,                0.00101
                     12,                 1.3942,                 1.3426,                 1.4084,                0.68896,                0.50624,                0.58052,                0.33385,                 1.4848,                 1.4123,                 1.4551,               0.000911,               0.000911,               0.000911
                     13,                 1.3754,                 1.3055,                 1.3964,                0.70125,                 0.4956,                0.57574,                0.34492,                 1.4409,                 1.3747,                  1.429,               0.000812,               0.000812,               0.000812
                     14,                 1.3561,                 1.2721,                  1.381,                0.69967,                0.51778,                0.59581,                0.35559,                  1.408,                 1.3183,                 1.3931,               0.000713,               0.000713,               0.000713
                     15,                 1.3285,                 1.2474,                 1.3524,                0.67426,                0.53793,                 0.6029,                0.36553,                 1.4042,                 1.2693,                 1.4002,               0.000614,               0.000614,               0.000614
                     16,                 1.2945,                 1.1929,                 1.3304,                0.71334,                 0.5248,                0.60763,                0.37025,                 1.3888,                  1.266,                 1.3757,               0.000515,               0.000515,               0.000515
                     17,                 1.2806,                 1.1611,                 1.3184,                0.71063,                 0.5338,                0.61892,                0.38115,                 1.3637,                 1.2362,                 1.3632,               0.000416,               0.000416,               0.000416
                     18,                 1.2498,                 1.1323,                 1.3048,                0.73747,                0.53444,                0.62716,                0.38213,                 1.3644,                 1.2122,                 1.3637,               0.000317,               0.000317,               0.000317
                     19,                 1.2184,                 1.0999,                 1.2822,                0.73643,                0.54588,                0.63461,                0.39403,                 1.3346,                 1.1964,                 1.3396,               0.000218,               0.000218,               0.000218
